tävling,datum,typ,vikt,böj,bänk,mark,total,poäng,namn,förening,distrikt,kön,år,viktklass,elit
Elitserien dam KL BP,2018-11-19,KBP,62.7,0.0,100.0,0.0,100.0,107.79,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2018.0,63,False
"EM Bänkpress, utrustning",2018-10-12,BP,56.89,,122.5,,,142.36,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2018.0,57,True
EM klassisk bänkpress 2018,2018-08-11,KBP,56.91,0.0,107.5,0.0,107.5,124.9,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2018.0,57,True
SM i Klassisk Bänkpress 2018,2018-07-08,KBP,56.85,0.0,100.0,0.0,100.0,116.28,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2018.0,57,True
Enbart Ranking KL BP dam,2018-05-19,KBP,56.14,0.0,105.0,0.0,105.0,123.3,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2018.0,57,False
EM KLBP 2017,2017-08-12,KBP,56.01,0.0,102.5,0.0,102.5,120.59,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,57,True
SM-veckan Borås (Klassisk bänkpress),2017-07-07,KBP,56.85,0.0,97.5,0.0,97.5,113.37,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,57,True
SM-veckan Borås (Klassisk styrkelyft),2017-07-04,KSL,56.5,117.5,103.0,150.0,370.5,432.9,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,57,True
VM Bänkpress 2017,2017-05-26,BP,60.15,,127.5,,,141.87,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,63,True
VM klassisk bänkpress 2017,2017-04-21,KBP,56.71,0.0,102.5,0.0,102.5,119.42,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,57,True
SM-veckan Söderhamn 2017 (Bänkpress),2017-02-05,BP,59.9,,122.5,,,136.75,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2017.0,63,True
Lag-SM 2016 Klassisk Styrkelyft,2016-12-02,KSL,59.5,110.0,97.5,150.0,357.5,401.17,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,63,True
DM i styrkelyft (klassisk) Västra Svealand,2016-11-19,KSL,59.95,115.0,100.0,140.0,355.0,396.04,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,63,False
Elitserien dam KL BP,2016-09-19,KBP,59.7,0.0,95.0,0.0,95.0,106.33,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,63,False
EM Bänkpress 2016,2016-08-19,BP,56.65,,115.0,,,134.09,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,57,True
Damserien BP,2016-05-21,BP,63.0,,80.0,,,85.92,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,69,False
VM KLBP,2016-05-19,KBP,63.0,0.0,80.0,0.0,80.0,85.92,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,69,True
VM Bänkpress (Rödby) 2016,2016-04-23,BP,62.41,,120.0,,,129.8,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,63,True
Enbart ranking BP dam,2016-02-07,BP,62.9,,131.0,,,140.86,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2016.0,63,False
Lag-SM 2015 - Styrkelyft,2015-12-04,SL,63.85,155.0,105.0,165.0,425.0,451.84,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2015.0,69,True
Damserien SL,2015-11-15,SL,62.1,152.5,122.5,160.0,435.0,472.31,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2015.0,63,False
Damserien BP,2015-09-21,BP,65.4,,125.0,,,130.54,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2015.0,69,False
EM Bänkpress,2015-08-06,BP,62.03,,122.5,,,133.12,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2015.0,63,True
SM-veckan Sundsvall 2015 (klassisk bänkpress),2015-07-02,KBP,62.3,0.0,97.5,0.0,97.5,105.6,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2015.0,63,True
Damserien BP,2015-05-24,BP,61.84,,125.0,,,136.16,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2015.0,63,False
Damserien SL,2015-02-09,SL,62.9,0.0,130.0,0.0,130.0,139.78,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2015.0,63,False
Allsvenskan dam KL BP,2015-02-08,KBP,63.6,0.0,95.0,0.0,95.0,101.3,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2015.0,69,False
SM-veckan Örebro 2015 (Bänkpress),2015-01-30,BP,62.9,,130.0,,,139.78,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2015.0,63,True
SM KLBP 2014,2014-07-06,KBP,62.88,0.0,97.5,0.0,97.5,104.86,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2014.0,63,True
SM KLSL,2014-07-03,KSL,62.95,122.5,95.0,150.0,367.5,394.92,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2014.0,63,True
Damserien BP,2014-05-25,BP,62.58,,127.5,,,137.63,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2014.0,63,False
Damserien SL,2014-01-25,SL,64.15,130.0,135.0,150.0,415.0,439.67,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2014.0,69,False
Lag-SM BP 2013,2013-12-08,BP,68.75,,140.0,,,141.04,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2013.0,69,True
Damserien klassisk SL,2013-11-10,KSL,69.8,140.0,105.0,152.5,397.5,396.23,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2013.0,76,False
EM bänkpress 2013,2013-08-09,BP,71.5,,145.0,,,142.19,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2013.0,76,True
SM Klassisk Styrkelyft,2013-07-04,KSL,71.75,142.5,108.0,157.5,408.0,399.15,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2013.0,76,True
VM Klassisk SL 2013,2013-06-15,KSL,70.6,142.5,105.0,155.0,402.5,398.09,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2013.0,76,True
VM Bänkpress 2013,2013-05-23,BP,71.4,,152.5,,,149.68,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2013.0,76,True
Damserien klassisk BP,2013-05-10,KBP,72.7,0.0,102.5,0.0,102.5,99.41,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2013.0,76,False
Damserien klassisk BP,2013-01-27,KBP,70.65,0.0,107.5,0.0,107.5,106.27,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2013.0,76,False
SM styrkelyft 2013,2013-01-26,SL,70.4,130.0,107.5,145.0,382.5,379.04,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2013.0,76,True
SM bänkpress 2013,2013-01-25,BP,70.65,,145.0,,,143.34,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2013.0,76,True
Lag-SM,2012-12-09,BP,73.65,,100.0,,,96.17,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,True
Lag-SM,2012-12-08,SL,73.2,170.0,97.5,172.5,440.0,424.82,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,True
SM Bänkpress,2012-11-23,BP,71.65,,140.0,,,137.09,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,True
DM SL Västra Svealand,2012-11-10,SL,71.6,137.5,105.0,147.5,390.0,382.07,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,False
Klassisk damserie BP,2012-09-09,KBP,74.7,0.0,105.0,0.0,105.0,100.07,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,False
EM BP 2012,2012-08-10,BP,71.72,,145.0,,,141.89,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,True
Eleiko Classic World Cup,2012-06-14,KSL,71.35,140.0,102.5,145.0,387.5,380.52,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,False
Allsvenskan BP,2012-05-27,BP,71.54,,150.0,,,147.03,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,False
SM Klassisk bänkpress,2012-03-25,KBP,70.9,0.0,105.0,0.0,105.0,103.55,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,True
SM SL 2012,2012-02-25,SL,71.95,187.5,152.5,162.5,502.5,490.69,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,True
Klassisk damserie SL,2012-01-30,KSL,71.85,137.5,107.5,142.5,387.5,378.74,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,False
Damserien SL,2012-01-29,SL,71.85,137.5,107.5,142.5,387.5,378.74,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2012.0,76,False
Lag-SM 2011 BP,2011-12-10,BP,75.0,,157.5,,,149.73,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2011.0,76,True
BP SM 2011,2011-11-26,BP,71.9,,152.5,,,148.98,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2011.0,76,True
Klassisk ranking SL 2011,2011-11-13,KSL,74.55,127.5,110.0,142.5,380.0,362.61,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2011.0,76,False
RM Klassisk BP,2011-08-19,KBP,71.95,0.0,102.5,0.0,102.5,100.09,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2011.0,76,False
BP EM,2011-07-04,BP,71.25,,157.5,,,154.81,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2011.0,76,True
U/J/S VM BP,2011-05-27,BP,70.6,,157.5,,,155.77,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2011.0,76,True
Damserien BP 2011,2011-05-07,BP,71.43,,160.5,,,157.49,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2011.0,76,False
EM SL,2011-05-05,SL,71.43,187.5,160.5,170.0,518.0,508.28,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2011.0,76,True
SM SL 2011,2011-02-26,SL,70.6,172.5,142.5,165.0,480.0,474.74,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2011.0,76,True
Lag-SM 2010 SL,2010-12-12,SL,72.25,162.5,142.5,170.0,475.0,462.55,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2010.0,76,True
Lag-SM 2010 BP,2010-12-11,BP,72.3,,150.5,,,146.49,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2010.0,76,True
SM Bänkpress 2010,2010-11-27,BP,72.6,,143.0,,,138.81,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2010.0,76,True
Damserien SL 2010,2010-11-14,SL,71.2,165.0,142.5,165.0,472.5,464.64,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2010.0,76,False
Allsvenskan SL 2010,2010-09-05,SL,70.8,107.5,95.0,140.0,342.5,338.09,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2010.0,76,False
Damserien BP 2010,2010-08-29,BP,67.3,,127.5,,,130.41,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2010.0,69,False
EM Bänkpress,2010-08-12,BP,69.4,,137.5,,,137.61,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2010.0,76,True
VM Bänkpress U/J/S,2010-05-27,BP,66.5,,125.0,,,128.96,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2010.0,69,True
Damserien SL 2010,2010-04-24,SL,68.02,165.0,87.5,145.0,397.5,403.48,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2010.0,69,False
SM styrkelyft-10,2010-02-27,SL,64.6,145.0,118.0,150.0,413.0,435.27,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2010.0,69,True
Lag-SMSL 09,2009-12-12,SL,61.25,142.5,100.0,150.0,392.5,430.69,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2009.0,63,True
Lag-SM BP 09,2009-12-11,BP,61.4,,90.0,,,98.57,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2009.0,63,True
SM Bänkpress,2009-11-28,BP,59.75,,110.0,,,123.04,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2009.0,63,True
Damserien SL,2009-11-07,SL,61.7,100.0,85.0,130.0,315.0,343.71,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2009.0,63,False
Damserien SL,2009-09-11,SL,59.3,135.0,0.0,140.0,275.0,309.4,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2009.0,63,False
Damserien BP,2009-05-01,BP,54.95,,87.5,,,104.49,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2009.0,57,False
SM Styrkelyft,2009-02-28,SL,51.5,115.0,82.5,132.5,330.0,414.47,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2009.0,52,True
Damserien SL,2009-01-24,SL,53.95,115.0,85.0,130.0,330.0,399.79,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2009.0,57,False
JSK Recordbreaker-SL,2008-12-06,SL,52.0,105.0,87.5,125.0,317.5,395.81,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2008.0,57,False
U/J-Damserien SL,2008-11-01,SL,55.4,115.0,95.0,140.0,350.0,415.3,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2008.0,57,False
Damserien BP,2008-10-04,BP,59.0,,95.0,,,107.31,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2008.0,63,False
U/J-Damserien SL,2008-08-30,SL,59.15,0.0,102.5,0.0,102.5,115.55,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2008.0,63,False
EM BP,2008-08-07,BP,59.2,,100.0,,,112.66,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2008.0,63,True
Damserien BP,2008-05-18,BP,61.35,,107.5,,,117.81,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2008.0,63,False
U/J-Damserien SL,2008-05-03,SL,62.4,135.0,106.0,140.0,381.0,412.16,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2008.0,63,False
U/J SM SL,2008-03-08,SL,61.45,140.0,97.5,142.5,380.0,415.93,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2008.0,63,True
Juniorserien BP,2008-02-03,BP,58.98,,90.0,,,101.69,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2008.0,63,False
Damserien SL,2007-10-27,SL,58.7,130.0,85.0,135.0,350.0,396.91,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2007.0,63,False
Damserien BP,2007-10-06,BP,59.15,,90.0,,,101.46,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2007.0,63,False
Damserien SL,2007-09-07,SL,59.75,130.0,95.0,140.0,365.0,408.0,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2007.0,63,False
Damserien SL,2007-05-19,SL,58.6,135.0,92.5,152.5,380.0,432.0,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2007.0,63,False
Damserien BP,2007-02-03,BP,59.85,,85.0,,,95.0,Karolina Arvidson,Örebro KK,Västra Svealands SDF,F,2007.0,63,False
Allsvenska SL,2009-11-07,SL,117.0,200.0,255.0,232.5,687.5,397.69,Jens Langörgen,Borlänge AK,Södra Norrlands SDF,M,2009.0,120,False
Elitserien BP,2009-09-05,BP,115.4,,250.0,,,145.13,Jens Langörgen,Borlänge AK,Södra Norrlands SDF,M,2009.0,120,False
Elitserien BP,2009-05-03,BP,117.75,,250.0,,,144.38,Jens Langörgen,Borlänge AK,Södra Norrlands SDF,M,2009.0,120,False
Allsvenska SL,2009-01-31,SL,117.92,210.0,262.5,227.5,700.0,404.13,Jens Langörgen,Borlänge AK,Södra Norrlands SDF,M,2009.0,120,False
BP SM,2008-11-15,BP,109.95,,240.0,,,141.26,Jens Langörgen,Borlänge AK,Södra Norrlands SDF,M,2008.0,120,True
Allsvenskan SL,2008-11-01,SL,112.5,200.0,240.0,230.0,670.0,391.68,Jens Langörgen,Borlänge AK,Södra Norrlands SDF,M,2008.0,120,False
Allsvenskan BP,2008-09-06,BP,113.96,,220.0,,,128.15,Jens Langörgen,Borlänge AK,Södra Norrlands SDF,M,2008.0,120,False
Allsvenskan BP,2008-05-18,BP,109.7,,220.0,,,129.58,Jens Langörgen,Borlänge AK,Södra Norrlands SDF,M,2008.0,120,False
Elitserien BP,2007-09-20,BP,111.3,,220.0,,,129.01,Jens Langörgen,Borlänge AK,Södra Norrlands SDF,M,2007.0,120,False
Elitserien BP,2007-05-19,BP,116.1,,230.0,,,133.0,Jens Langörgen,Borlänge AK,Södra Norrlands SDF,M,2007.0,120,False
Elitserien BP,2007-02-10,BP,114.3,,225.0,,,131.0,Jens Langörgen,Borlänge AK,Södra Norrlands SDF,M,2007.0,120,False
Allsvenskan dam BP klassisk,2020-09-12,KBP,67.15,0.0,62.5,0.0,62.5,64.03,Helene Johage,Täby AK,Östra Svealands SDF,F,2020.0,69,False
Veteranserien dam BP klassisk,2020-01-25,KBP,67.2,0.0,60.0,0.0,60.0,61.43,Helene Johage,Täby AK,Östra Svealands SDF,F,2020.0,69,False
Elitserien dam KL BP,2018-09-15,KBP,65.65,0.0,62.5,0.0,62.5,65.09,Helene Johage,Täby AK,Östra Svealands SDF,F,2018.0,69,False
Veteranserien dam KL BP,2018-05-19,KBP,66.15,0.0,62.5,0.0,62.5,64.73,Helene Johage,Täby AK,Östra Svealands SDF,F,2018.0,69,False
Veteranserien dam KL BP,2018-02-17,KBP,66.8,0.0,65.0,0.0,65.0,66.84,Helene Johage,Täby AK,Östra Svealands SDF,F,2018.0,69,False
u/j/v-SM Bänkpress 2017,2017-12-10,BP,65.7,,60.0,,,62.45,Helene Johage,Täby AK,Östra Svealands SDF,F,2017.0,69,True
Enbart ranking BP dam,2017-11-15,BP,65.55,,82.5,,,86.01,Helene Johage,Täby AK,Östra Svealands SDF,F,2017.0,69,False
Elitserien dam KL BP,2017-05-14,KBP,64.25,0.0,65.0,0.0,65.0,68.78,Helene Johage,Täby AK,Östra Svealands SDF,F,2017.0,69,False
u/j/v-SM Bänkpress (klassisk),2016-11-25,KBP,65.0,0.0,65.0,0.0,65.0,68.19,Helene Johage,Täby AK,Östra Svealands SDF,F,2016.0,69,True
Elitserien dam KL SL,2016-11-20,KSL,64.3,0.0,60.0,0.0,60.0,63.46,Helene Johage,Täby AK,Östra Svealands SDF,F,2016.0,69,False
VM Klassisk SL 2015,2015-06-05,KSL,62.23,107.5,67.5,140.0,315.0,341.47,Helene Johage,Täby AK,Östra Svealands SDF,F,2015.0,63,True
Allsvenskan dam KL BP,2015-05-17,KBP,62.2,0.0,65.0,0.0,65.0,70.49,Helene Johage,Täby AK,Östra Svealands SDF,F,2015.0,63,False
U/J/V SM Styrkelyft (klassiskt),2015-05-01,KSL,62.2,102.5,65.0,142.5,310.0,336.18,Helene Johage,Täby AK,Östra Svealands SDF,F,2015.0,63,True
SM KLSL,2014-07-03,KSL,62.68,112.5,70.0,145.0,327.5,353.08,Helene Johage,Täby AK,Östra Svealands SDF,F,2014.0,63,True
Elitserien dam KL SL,2014-05-18,KSL,64.4,105.0,67.5,140.0,312.5,330.11,Helene Johage,Täby AK,Östra Svealands SDF,F,2014.0,69,False
Elitserien dam KL SL,2014-01-26,KSL,65.15,90.0,65.0,130.0,285.0,298.48,Helene Johage,Täby AK,Östra Svealands SDF,F,2014.0,69,False
Klassisk ranking SL,2010-01-30,KSL,61.9,90.0,60.0,105.0,255.0,277.55,Helene Johage,Täby AK,Östra Svealands SDF,F,2010.0,63,False
Veteranserien SL,2008-11-11,SL,59.08,162.5,80.0,165.0,407.5,459.8,Helene Johage,Täby AK,Östra Svealands SDF,F,2008.0,63,False
Veteranserien BP,2008-09-07,BP,61.0,,95.0,,,104.57,Helene Johage,Täby AK,Östra Svealands SDF,F,2008.0,63,False
NM SL,2008-08-29,SL,59.95,167.5,90.0,162.5,420.0,468.56,Helene Johage,Täby AK,Östra Svealands SDF,F,2008.0,63,True
Veteranserien BP,2008-05-07,BP,59.9,,90.0,,,100.47,Helene Johage,Täby AK,Östra Svealands SDF,F,2008.0,63,False
Damserien BP,2008-02-04,BP,61.36,,95.0,,,104.1,Helene Johage,Täby AK,Östra Svealands SDF,F,2008.0,63,False
Göteborg Cup SL,2008-02-01,SL,61.36,170.0,95.0,135.0,400.0,438.31,Helene Johage,Täby AK,Östra Svealands SDF,F,2008.0,63,False
Lag-SM Final Damer,2007-12-15,SL,60.9,175.0,102.5,170.0,447.5,493.21,Helene Johage,Täby AK,Östra Svealands SDF,F,2007.0,63,True
Damserien SL,2007-10-27,SL,59.3,172.5,97.5,170.0,440.0,495.04,Helene Johage,Täby AK,Östra Svealands SDF,F,2007.0,63,False
Damserien BP,2007-10-08,BP,60.15,,95.0,,,105.71,Helene Johage,Täby AK,Östra Svealands SDF,F,2007.0,63,False
Damserien BP,2007-05-19,BP,59.0,,95.0,,,107.31,Helene Johage,Täby AK,Östra Svealands SDF,F,2007.0,63,False
Damserien SL,2007-04-15,SL,60.0,160.0,97.5,167.5,425.0,473.83,Helene Johage,Täby AK,Östra Svealands SDF,F,2007.0,63,False
Damserien SL,2007-02-01,SL,61.6,110.0,97.5,115.0,322.5,352.33,Helene Johage,Täby AK,Östra Svealands SDF,F,2007.0,63,False
Allsvenskan SL,2008-02-03,SL,91.95,250.0,205.0,275.0,730.0,461.09,Mikael  Folkesson,Borlänge AK,Södra Norrlands SDF,M,2008.0,93,False
Veteranserien Div 2 BP,2008-02-02,BP,92.3,,220.0,,,138.7,Mikael  Folkesson,Borlänge AK,Södra Norrlands SDF,M,2008.0,93,False
Elitserien BP,2007-09-03,BP,90.5,,190.0,,,120.96,Mikael  Folkesson,Borlänge AK,Södra Norrlands SDF,M,2007.0,93,False
Elitserien SL,2007-05-19,SL,90.0,260.0,210.0,260.0,730.0,466.0,Mikael  Folkesson,Borlänge AK,Södra Norrlands SDF,M,2007.0,93,False
Elitserien BP,2007-02-10,BP,88.95,,195.0,,,125.0,Mikael  Folkesson,Borlänge AK,Södra Norrlands SDF,M,2007.0,93,False
Enbart ranking Herr BP utrustat,2022-05-14,BP,82.6,,150.0,,,100.41,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2022.0,83,False
Enbart ranking herr BP utrustat,2021-11-27,BP,81.9,,150.0,,,100.93,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2021.0,83,False
SM Bänkpress Utrustad Veteran & Junior,2019-12-06,BP,81.35,,152.5,,,103.03,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2019.0,83,True
Enbart ranking herr BP,2019-09-07,BP,83.0,,140.0,,,93.45,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2019.0,93,False
U/J/V-SM utrustning BP,2018-12-09,BP,80.45,,155.0,,,105.45,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2018.0,83,True
Enbart Ranking BP herr,2018-09-15,BP,79.7,,150.0,,,102.65,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2018.0,83,False
u/j/v-SM Bänkpress 2017,2017-12-10,BP,81.7,,167.5,,,112.87,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2017.0,83,True
Enbart ranking BP herr,2017-09-09,BP,81.8,,162.5,,,109.42,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2017.0,83,False
Enbart ranking BP herr,2017-05-21,BP,81.4,,172.5,,,116.5,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2017.0,83,False
Enbart ranking BP herr,2017-02-27,BP,81.0,,165.0,,,111.78,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2017.0,83,False
u/j/v-SM Bänkpress (utrustning),2016-11-25,BP,82.3,,165.0,,,110.7,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2016.0,83,True
Enbart ranking BP herr,2016-09-24,BP,81.2,,160.0,,,108.22,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2016.0,83,False
U/J/V SM Bänkpress (utrustning),2015-11-28,BP,82.6,,180.0,,,120.5,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2015.0,83,True
Veteran-EM Bänkpress,2015-10-15,BP,82.4,,190.0,,,127.37,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2015.0,83,True
Elitserien BP,2015-09-21,BP,81.7,,187.5,,,126.35,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2015.0,83,False
Elitserien BP,2015-05-16,BP,80.26,,177.5,,,120.93,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2015.0,83,False
Elitserien BP,2015-02-02,BP,81.8,,182.5,,,122.89,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2015.0,83,False
U/J/V SM Bänkpress,2014-11-21,BP,80.05,,185.0,,,126.25,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2014.0,83,True
Elitserien BP,2014-09-28,BP,81.65,,185.0,,,124.71,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2014.0,83,False
Elitserien BP,2013-09-23,BP,79.15,,175.0,,,120.29,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2013.0,83,False
SM bänkpress 2013,2013-01-25,BP,80.65,,195.0,,,132.45,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2013.0,83,True
SM Bänkpress,2012-11-23,BP,80.7,,185.0,,,125.61,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2012.0,83,True
Elitserien BP,2012-10-22,BP,81.65,,182.5,,,123.03,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2012.0,83,False
Elitserien BP,2012-09-03,BP,81.62,,172.5,,,116.31,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2012.0,83,False
Elitserien BP,2012-05-24,BP,80.7,,180.0,,,122.22,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2012.0,83,False
Elitserien BP,2012-01-16,BP,80.5,,182.5,,,124.11,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2012.0,83,False
BP SM 2011,2011-11-26,BP,80.95,,177.5,,,120.29,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2011.0,83,True
Elitserien BP 2011,2011-10-09,BP,81.45,,177.5,,,119.83,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2011.0,83,False
Elitserien BP 2011,2011-09-18,BP,80.85,,177.5,,,120.38,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2011.0,83,False
Elitserien BP 2011,2011-05-08,BP,81.09,,182.5,,,123.55,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2011.0,83,False
Elitserien BP 2011,2011-01-30,BP,79.35,,185.0,,,126.95,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2011.0,83,False
Allsvenskan SL 2010,2010-11-14,SL,81.35,145.0,172.5,165.0,482.5,325.99,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2010.0,83,False
Elitserien BP 2010,2010-10-09,BP,79.65,,165.0,,,112.96,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2010.0,83,False
SM Bänkpress,2009-11-28,BP,81.05,,175.0,,,118.5,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2009.0,83,True
BP SM,2008-11-15,BP,74.9,,150.0,,,106.98,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2008.0,83,True
Allsvenskan BP,2008-10-11,BP,77.13,,175.0,,,122.34,Ove Östby,Borlänge AK,Södra Norrlands SDF,M,2008.0,83,False
